SYMBOL,SYMBOL WITH NS,'SYMBOL WITH NS,TICKERS,NAME OF COMPANY,SERIES,DATE OF LISTING,PAID UP VALUE,MARKET LOT,ISIN NUMBER,FACE VALUE
TATAINVEST,TATAINVEST.NS,'TATAINVEST.NS,'TATAMETALI.NS',Tata Investment Corporation Limited,EQ,24-Jun-1998,10,1,INE672A01018,10
TATAMETALI,TATAMETALI.NS,'TATAMETALI.NS,'TATAMOTORS.NS',Tata Metaliks Limited,EQ,27-May-2003,10,1,INE056C01010,10
TATAMOTORS,TATAMOTORS.NS,'TATAMOTORS.NS,'TATAMTRDVR.NS',Tata Motors Limited,EQ,22-Jul-1998,2,1,INE155A01022,2
TATAMTRDVR,TATAMTRDVR.NS,'TATAMTRDVR.NS,'TATAPOWER.NS',Tata Motors Limited,EQ,05-Nov-2008,2,1,IN9155A01020,2
TATAPOWER,TATAPOWER.NS,'TATAPOWER.NS,'TATASTEEL.NS',Tata Power Company Limited,EQ,03-Apr-1996,1,1,INE245A01021,1
TATASTEEL,TATASTEEL.NS,'TATASTEEL.NS,'TATASTLBSL.NS',Tata Steel Limited,EQ,18-Nov-1998,10,1,INE081A01012,10
TATASTLBSL,TATASTLBSL.NS,'TATASTLBSL.NS,'TATASTLLP.NS',Tata Steel Bsl Limited,EQ,21-Nov-2003,2,1,INE824B01021,2
TATASTLLP,TATASTLLP.NS,'TATASTLLP.NS,'TBZ.NS',Tata Steel Long Products Limited,EQ,24-Feb-2003,10,1,INE674A01014,10
TBZ,TBZ.NS,'TBZ.NS,'TCI.NS',Tribhovandas Bhimji Zaveri Limited,EQ,09-May-2012,10,1,INE760L01018,10
TCI,TCI.NS,'TCI.NS,'TCIDEVELOP.NS',Transport Corporation of India Limited,EQ,21-Jan-2002,2,1,INE688A01022,2
TCIDEVELOP,TCIDEVELOP.NS,'TCIDEVELOP.NS,'TCIEXP.NS',TCI Developers Limited,EQ,19-Apr-2011,10,1,INE662L01016,10
TCIEXP,TCIEXP.NS,'TCIEXP.NS,'TCIFINANCE.NS',TCI Express Limited,EQ,15-Dec-2016,2,1,INE586V01016,2
TCIFINANCE,TCIFINANCE.NS,'TCIFINANCE.NS,'TCNSBRANDS.NS',TCI Finance Limited,EQ,21-May-1997,10,1,INE911B01018,10
